datum,uhrzeit_start,uhrzeit_ende,zaehlstelle,richtung_1,richtung_2,gesamt
2022.09.03,16:00:00,16:15:00,Arnulf,25,2,27
2022.09.03,16:15:00,16:30:00,Arnulf,18,0,18
2022.09.03,16:30:00,16:45:00,Arnulf,5,0,5
2022.09.03,16:45:00,17:00:00,Arnulf,0,0,0
2022.09.03,17:00:00,17:15:00,Arnulf,8,0,8
2022.09.03,17:15:00,17:30:00,Arnulf,5,0,5
2022.09.03,17:30:00,17:45:00,Arnulf,4,0,4
2022.09.03,17:45:00,18:00:00,Arnulf,5,2,7
2022.09.03,18:00:00,18:15:00,Arnulf,16,1,17
2022.09.03,18:15:00,18:30:00,Arnulf,14,2,16
2022.09.03,18:30:00,18:45:00,Arnulf,15,1,16
2022.09.03,18:45:00,19:00:00,Arnulf,12,2,14
2022.09.03,19:00:00,19:15:00,Arnulf,12,1,13
2022.09.03,19:15:00,19:30:00,Arnulf,12,0,12
2022.09.03,19:30:00,19:45:00,Arnulf,6,0,6
2022.09.03,19:45:00,20:00:00,Arnulf,13,0,13
2022.09.03,20:00:00,20:15:00,Arnulf,6,0,6
2022.09.03,20:15:00,20:30:00,Arnulf,6,0,6
2022.09.03,20:30:00,20:45:00,Arnulf,11,1,12
2022.09.03,20:45:00,21:00:00,Arnulf,11,0,11
2022.09.03,21:00:00,21:15:00,Arnulf,5,1,6
2022.09.03,21:15:00,21:30:00,Arnulf,5,0,5
2022.09.03,21:30:00,21:45:00,Arnulf,7,0,7
2022.09.03,21:45:00,22:00:00,Arnulf,3,0,3
2022.09.03,22:00:00,22:15:00,Arnulf,3,0,3
2022.09.03,22:15:00,22:30:00,Arnulf,9,0,9
2022.09.03,22:30:00,22:45:00,Arnulf,6,0,6
2022.09.03,22:45:00,23:00:00,Arnulf,2,1,3
2022.09.03,23:00:00,23:15:00,Arnulf,3,0,3
2022.09.03,23:15:00,23:30:00,Arnulf,6,0,6
2022.09.03,23:30:00,23:45:00,Arnulf,4,0,4
2022.09.03,23:45:00,00:00:00,Arnulf,1,1,2
2022.09.04,00:00:00,00:15:00,Arnulf,1,1,2
2022.09.04,00:15:00,00:30:00,Arnulf,1,0,1
2022.09.04,00:30:00,00:45:00,Arnulf,2,1,3
2022.09.04,00:45:00,01:00:00,Arnulf,4,1,5
2022.09.04,01:00:00,01:15:00,Arnulf,1,1,2
2022.09.04,01:15:00,01:30:00,Arnulf,2,0,2
2022.09.04,01:30:00,01:45:00,Arnulf,4,0,4
2022.09.04,01:45:00,02:00:00,Arnulf,2,1,3
2022.09.04,02:00:00,02:15:00,Arnulf,3,0,3
2022.09.04,02:15:00,02:30:00,Arnulf,0,0,0
2022.09.04,02:30:00,02:45:00,Arnulf,1,0,1
2022.09.04,02:45:00,03:00:00,Arnulf,3,3,6
2022.09.04,03:00:00,03:15:00,Arnulf,4,0,4
2022.09.04,03:15:00,03:30:00,Arnulf,1,0,1
2022.09.04,03:30:00,03:45:00,Arnulf,1,0,1
2022.09.04,03:45:00,04:00:00,Arnulf,2,0,2
2022.09.04,04:00:00,04:15:00,Arnulf,1,1,2
2022.09.04,04:15:00,04:30:00,Arnulf,1,0,1
2022.09.04,04:30:00,04:45:00,Arnulf,2,0,2
2022.09.04,04:45:00,05:00:00,Arnulf,1,0,1
2022.09.04,05:00:00,05:15:00,Arnulf,4,0,4
2022.09.04,05:15:00,05:30:00,Arnulf,2,0,2
2022.09.04,05:30:00,05:45:00,Arnulf,2,0,2
2022.09.04,05:45:00,06:00:00,Arnulf,1,0,1
2022.09.04,06:00:00,06:15:00,Arnulf,3,0,3
2022.09.04,06:15:00,06:30:00,Arnulf,1,0,1
2022.09.04,06:30:00,06:45:00,Arnulf,2,0,2
2022.09.04,06:45:00,07:00:00,Arnulf,1,0,1
2022.09.04,07:00:00,07:15:00,Arnulf,4,0,4
2022.09.04,07:15:00,07:30:00,Arnulf,5,0,5
2022.09.04,07:30:00,07:45:00,Arnulf,3,1,4
2022.09.04,07:45:00,08:00:00,Arnulf,5,0,5
2022.09.04,08:00:00,08:15:00,Arnulf,6,0,6
2022.09.04,08:15:00,08:30:00,Arnulf,6,0,6
2022.09.04,08:30:00,08:45:00,Arnulf,5,0,5
2022.09.04,08:45:00,09:00:00,Arnulf,12,1,13
2022.09.04,09:00:00,09:15:00,Arnulf,8,0,8
2022.09.04,09:15:00,09:30:00,Arnulf,12,0,12
2022.09.04,09:30:00,09:45:00,Arnulf,18,0,18
2022.09.04,09:45:00,10:00:00,Arnulf,17,0,17
2022.09.04,10:00:00,10:15:00,Arnulf,20,1,21
2022.09.04,10:15:00,10:30:00,Arnulf,12,0,12
2022.09.04,10:30:00,10:45:00,Arnulf,10,0,10
2022.09.04,10:45:00,11:00:00,Arnulf,11,0,11
2022.09.04,11:00:00,11:15:00,Arnulf,18,1,19
2022.09.04,11:15:00,11:30:00,Arnulf,13,0,13
2022.09.04,11:30:00,11:45:00,Arnulf,13,0,13
2022.09.04,11:45:00,12:00:00,Arnulf,23,2,25
2022.09.04,12:00:00,12:15:00,Arnulf,16,0,16
2022.09.04,12:15:00,12:30:00,Arnulf,29,0,29
2022.09.04,12:30:00,12:45:00,Arnulf,28,0,28
2022.09.04,12:45:00,13:00:00,Arnulf,23,1,24
2022.09.04,13:00:00,13:15:00,Arnulf,19,1,20
2022.09.04,13:15:00,13:30:00,Arnulf,19,2,21
2022.09.04,13:30:00,13:45:00,Arnulf,30,2,32
2022.09.04,13:45:00,14:00:00,Arnulf,36,1,37
2022.09.04,14:00:00,14:15:00,Arnulf,27,0,27
