Date, Open, High, Low, Close
12/14/21, 15680.35, 15697.98, 15448.45, 15453.56
12/13/21, 15653.57, 15794.31, 15591.62, 15621.72
12/10/21, 15572.69, 15689.50, 15550.45, 15623.31
12/09/21, 15705.93, 15721.48, 15613.40, 15639.26
12/08/21, 15781.05, 15834.04, 15683.67, 15687.09
12/07/21, 15546.70, 15827.94, 15544.79, 15813.94
12/06/21, 15323.20, 15415.46, 15150.54, 15380.79
12/03/21, 15422.90, 15422.90, 15101.71, 15169.98
12/02/21, 15300.73, 15373.52, 15172.90, 15263.11
12/01/21, 15233.37, 15509.46, 15187.09, 15472.67
11/30/21, 15117.63, 15280.04, 15015.42, 15100.13
11/29/21, 15418.28, 15441.91, 15237.87, 15280.86
11/26/21, 15383.90, 15540.29, 15244.46, 15257.04
11/25/21, 15928.38, 15962.54, 15865.41, 15917.98
11/24/21, 15942.28, 15974.30, 15740.60, 15878.39
11/23/21, 15987.20, 16054.38, 15866.01, 15937.00
11/22/21, 16188.54, 16202.77, 16090.54, 16115.69
11/19/21, 16269.22, 16282.87, 16092.63, 16159.97
11/18/21, 16262.29, 16290.19, 16193.34, 16221.73
11/17/21, 16248.32, 16283.52, 16240.51, 16251.13
11/16/21, 16174.31, 16266.26, 16157.58, 16247.86
11/15/21, 16109.41, 16149.87, 16072.29, 16148.64
11/12/21, 16100.08, 16122.76, 16065.06, 16094.07
11/11/21, 16067.34, 16114.55, 16032.50, 16083.11
11/10/21, 16053.00, 16076.56, 15985.90, 16067.83
11/09/21, 16026.74, 16104.13, 16022.64, 16040.47
11/08/21, 16040.85, 16068.73, 16016.20, 16046.52
11/05/21, 16011.57, 16084.90, 16008.40, 16054.36
11/04/21, 16035.90, 16064.79, 15997.63, 16029.65
11/03/21, 15957.15, 15972.71, 15922.10, 15959.98
11/02/21, 15825.27, 15960.21, 15824.11, 15954.45
11/01/21, 15764.55, 15849.40, 15760.35, 15806.29
10/29/21, 15579.90, 15689.66, 15495.51, 15688.77
10/28/21, 15681.52, 15706.39, 15629.33, 15696.33
10/27/21, 15725.40, 15744.79, 15671.59, 15705.81
10/26/21, 15652.91, 15781.00, 15650.35, 15757.06
10/25/21, 15580.58, 15618.88, 15531.95, 15599.23
10/22/21, 15507.99, 15614.76, 15492.29, 15542.98
10/21/21, 15408.80, 15532.94, 15406.59, 15472.56
10/20/21, 15473.56, 15567.07, 15465.03, 15522.92
10/19/21, 15510.99, 15527.97, 15457.43, 15515.83
10/18/21, 15518.59, 15542.17, 15416.02, 15474.47
10/15/21, 15481.22, 15598.58, 15465.93, 15587.36
10/14/21, 15350.72, 15464.38, 15303.39, 15462.72
10/13/21, 15130.80, 15302.43, 15109.61, 15249.38
10/12/21, 15025.35, 15174.29, 15012.07, 15146.87
10/11/21, 15115.46, 15202.74, 15094.44, 15199.14
10/08/21, 15242.76, 15267.92, 15184.76, 15206.13
10/07/21, 15162.75, 15253.29, 15116.47, 15250.86
10/06/21, 15040.10, 15049.49, 14818.71, 14973.33
10/05/21, 15055.40, 15202.20, 15011.44, 15194.49
10/04/21, 15061.86, 15175.25, 15016.93, 15036.55
10/01/21, 15041.60, 15262.75, 14983.80, 15156.44
09/30/21, 15434.33, 15448.52, 15246.00, 15260.69
09/29/21, 15357.00, 15422.75, 15301.35, 15365.27
09/28/21, 15542.03, 15542.41, 15232.97, 15248.56
09/27/21, 15699.01, 15704.05, 15552.09, 15573.88
09/24/21, 15562.14, 15573.46, 15497.17, 15531.75
09/23/21, 15630.01, 15695.65, 15593.72, 15643.97
09/22/21, 15463.24, 15508.42, 15378.93, 15506.74
09/21/21, 15265.03, 15394.33, 15205.70, 15348.53
09/20/21, 15259.50, 15262.76, 15019.49, 15132.06
09/17/21, 15774.57, 15791.90, 15455.54, 15490.17
09/16/21, 15666.63, 15745.19, 15638.23, 15651.75
09/15/21, 15731.48, 15740.01, 15613.72, 15616.00
09/14/21, 15697.72, 15763.58, 15663.42, 15722.99
09/13/21, 15681.17, 15787.66, 15674.16, 15701.42
09/10/21, 15648.89, 15702.60, 15574.94, 15609.81
09/09/21, 15499.45, 15693.22, 15453.96, 15623.15
09/08/21, 15714.61, 15755.30, 15590.41, 15610.28
09/07/21, 15896.56, 15927.77, 15826.86, 15843.09
09/06/21, 15818.44, 15959.74, 15814.63, 15932.12
09/03/21, 15841.45, 15868.69, 15690.02, 15781.20
09/02/21, 15813.57, 15874.67, 15810.77, 15840.59
09/01/21, 15958.41, 15981.70, 15773.44, 15824.29
08/31/21, 15929.26, 16006.76, 15761.57, 15835.09
08/30/21, 15856.71, 15896.73, 15847.66, 15887.31
08/27/21, 15778.92, 15859.77, 15752.09, 15851.75
08/26/21, 15773.71, 15834.91, 15701.85, 15793.62
08/25/21, 15912.85, 15932.62, 15853.32, 15860.66
08/24/21, 15897.86, 15918.72, 15856.05, 15905.85
08/23/21, 15930.72, 15930.72, 15799.59, 15852.79
08/20/21, 15734.68, 15808.04, 15656.28, 15808.04
08/19/21, 15737.18, 15804.85, 15621.98, 15765.81
08/18/21, 15935.21, 15969.85, 15872.99, 15965.97
08/17/21, 15872.12, 15937.47, 15811.57, 15921.95
08/16/21, 15875.70, 15961.18, 15851.28, 15925.73
08/13/21, 15948.15, 16030.33, 15940.82, 15977.44
08/12/21, 15829.27, 15964.38, 15823.53, 15937.51
08/11/21, 15792.12, 15887.16, 15724.99, 15826.09
08/10/21, 15734.14, 15802.15, 15733.65, 15770.71
08/09/21, 15773.51, 15798.51, 15699.27, 15745.41
08/06/21, 15770.85, 15808.24, 15737.10, 15761.45
08/05/21, 15691.74, 15751.88, 15672.27, 15744.67
08/04/21, 15653.65, 15712.27, 15600.80, 15692.13
08/03/21, 15537.69, 15608.07, 15492.58, 15555.08
08/02/21, 15631.70, 15702.89, 15511.25, 15568.73
07/30/21, 15493.74, 15613.66, 15440.89, 15544.39
07/29/21, 15608.82, 15659.22, 15563.65, 15640.47
07/28/21, 15538.75, 15577.13, 15497.10, 15570.36
07/27/21, 15537.89, 15586.90, 15423.56, 15519.13
07/26/21, 15586.66, 15641.61, 15544.94, 15618.98
07/23/21, 15603.69, 15681.41, 15583.65, 15669.29
07/22/21, 15533.22, 15578.75, 15471.47, 15514.54
07/21/21, 15239.92, 15443.76, 15194.54, 15422.50
07/20/21, 15234.85, 15300.29, 15091.90, 15216.27
07/19/21, 15420.14, 15423.84, 15048.56, 15133.20
